Datetime,Tweet Id,Text,Username,Type,Slow,Accident,Closure,Lane Reduction,Ramp,Stunt Driving
2021-10-17 13:24:23+00:00,1449727996399603714,"111km in 60km/h- Longfields Dr/Paul Metis Dr
127km in 60km/h- Woodroffe Ave/Deerfield Dr
116km in 70km/h- G2- Strandherd Dr/Claridge Dr
109km in 60km/h- G2-  Greenbank Rd/Highbury Park",OPSTrafficCM,,,,,,,
2021-10-17 13:24:23+00:00,1449727995460075520,"Saturday night speed enforcement in Barrhaven - 4 #stuntdriving charges. 
@OttawaPolice

Nos agents étaient à Barrhaven hier soir faisant respecter les limites de vitesse- 4 accusations pour  #manœuvrespérilleuses",OPSTrafficCM,,,,,,,
2021-10-16 12:57:22+00:00,1449358810527719428,"Nos agents étaient à Barrhaven hier soir pour assurer le respect des limites de vitesse.
2 véhicules interceptés pour #manœuvrespérilleuses 
118km dans une zone de 70km/hr  Strandherd/Beatrice
137km dans une zone de 70km/hr sur Woodroffe proche de Strandherd.",OPSTrafficCM,,,,,,,
2021-10-16 12:57:22+00:00,1449358809458221056,"Speed enforcement in Barrhaven last night resulted in 2 #stuntdriving charges. 
118km in a 70km/h zone on Strandherd/Beatrice
137km in a 70km/h zone Woodroffe near Strandherd.
Licences suspended for 30 days and vehicles seized for 14.
@OttawaPolice @SROttawa",OPSTrafficCM,,,,,,,
2021-10-15 18:22:33+00:00,1449078256364396554,"Planning to enjoy a few 🍻this weekend? Plan 
a safe ride home. #DriveSober
@maddcanada @MADD_Ottawa 

Vous prévoyer profiter de la FDS avec quelques 🍻? Planifiez un retour à la maison sécuritaire. #ConduisezSobre
https://t.co/BTWTTTlsqm",OPSTrafficCM,,,,,,,
2021-10-15 14:59:16+00:00,1449027098119753736,"Nos instructeurs de moto organisent un cours de moto de police niveau un à Ottawa. Il s'agit d'un cours de 3 semaines qui implique plusieurs compétences - manœuvres à vitesse lente et élevée, freinage d'urgence et évitement des collisions. https://t.co/WahkI4burW",OPSTrafficCM,Collision,,,,,,
2021-10-15 14:49:24+00:00,1449024616186404866,"Our motorcycle instructors are hosting a level one police motorcycle course in Ottawa. This is a 3 week course that involves multiple skills - slow and high speed manoeuvering, emergency braking and collision avoidance.
@OttawaPolice https://t.co/SdkBPR3oEE",OPSTrafficCM,Collision,Slow,,,,,
2021-10-06 13:49:53+00:00,1445748145896386562,"#ManœuvresPérilleuses dans le  brouillard 🌫 ce matin.
🚗 intercepté roulant à 100km dans une zone de 60km/hr sur le chemin Heron proche du chemin Riverside.
Rappel - Adaptez votre conduite aux conditions météos.",OPSTrafficCM,,,,,,,
2021-10-06 13:49:52+00:00,1445748143102914566,"#stuntdriving in the intense fog 🌫 this morning.
 🚗 stopped going 100km in a 60km/hr area on Heron near Riverside Dr. 
Remember to drive according to conditions.
@OttawaPolice https://t.co/fZq1xI1UA8",OPSTrafficCM,,,,,,,
2021-10-02 22:40:52+00:00,1444432221734068228,"🚗 intercepté sur le chemin Merivale/prom. Woodfield.
Il avait 2 suspensions à vie liées à la conduite avec les facultés affaiblies. 
🚗 saisi pour 45 jrs et le conducteur a reçu un RV à la cour.
#SécuritéRoutière 1 véhicule à la fois.",OPSTrafficCM,,,,,,,
2021-10-02 22:40:52+00:00,1444432220589068291,"A driver was stopped on Merivale Rd/ Woodfield Dr.
Turns out he is suspended for life x2 for impaired related charges. 
🚗 impounded for 45 days. Driver charged accordingly. Increasing
#RoadSafety in Ottawa 1 car at a time.
@OttawaPolice @SROttawa @MADD_Ottawa",OPSTrafficCM,,,,,,,
2021-09-30 17:27:51+00:00,1443628670451597314,"18 accusations furent aussi portées pour des infractions telles que:
Pas de CVOR
Aucune inspection anuelle
Véhicule en surpoids
Freins défectueux
Conduire avec défaut majeur

@OttawaPolice",OPSTrafficCM,,,,,,,
2021-09-30 17:27:50+00:00,1443628669197504512,"Nos agents étaient à Navan avec nos collègues @transportON  hier, faisant des inspections des véhicules commerciaux.
24 véhicules  inspectés
11 ont été mis hors service pour des raisons telles que des freins inopérants, un permis de conduire incorrect",OPSTrafficCM,,,,,,,
2021-09-30 17:18:00+00:00,1443626194117799936,"Another 18 charges were laid :
No CVOR
No Annual Inspections
Vehicle Overweight
Defective Brakes
Drive with Major Defect are some examples of those charges 
#DriveSafely #DailyWalkAround",OPSTrafficCM,,,,,,,
2021-09-30 17:18:00+00:00,1443626192968552449,"Our officers were in Navan along with our colleagues @ONtransport yesterday doing commercial vehicle inspections.
24 vehicles were inspected
11 were taken out of service for things such as inoperative brakes, improper driver's licence to name a few.
@OttawaPolice",OPSTrafficCM,,,,,,,
2021-09-28 15:45:48+00:00,1442878213580115976,"Un conducteur avec une interdiction de conduire fut intercepté hier sur le chemin Hunt Club Rd/Moodie.
Le conducteur avait une interdiction de conduire à vie en raison de plusieurs accusations de conduite avec facultés affaiblies.
Le véhicule fut saisi pour 45 jrs .",OPSTrafficCM,,,,,,,
2021-09-28 15:45:47+00:00,1442878211835183115,"Prohibited driver stopped on Hunt Club Rd/ Moodie Dr yesterday.
Driver was not only prohibited from driving for life due to multiple impaired driving charges but was also uninsured. 
Vehicle was impounded for 45 days and driver was charged accordingly.
@OttawaPolice",OPSTrafficCM,,,,,,,
2021-09-26 20:58:39+00:00,1442232168772734981,"#stuntdriving on the 174 this morning.
3 drivers charged, 2 of them were G2's.
#slowdown 

@OttawaPolice 

#manœuvrespérilleuses sur la 174 ce matin.
2 des 3 personnes accusées étaient des G2.
#ralentissez",OPSTrafficCM,,Slow,,,,,
2021-09-24 18:51:36+00:00,1441475420260651017,"10 🚗interceptés pour #manoeuvrespérilleuses aujorud'hui.
8 roulaient plus de 50km au-dessus de la limite sur la 174 et 2 roulaient plus de 40km au-dessus de la limite sur l'avenue Bronson.
Les permis furent supendus pour 30 jrs et les véhicules saisis pour 14.
#Ralentissez",OPSTrafficCM,,,,,,,
2021-09-23 15:44:35+00:00,1441065968764076036,"#SuntDriving on Dunrobin Rd/ Constance Bay Rd today.
G2 was stopped going 139km in an 80 km/h area.
#slowdown 
@OttawaPolice 

#manoeuvrespérilleuses sur le chemin Dunrobin ajd.
G2 intercepté roulant à 139km dans une zone de 80km/hr.
#Ralentissez",OPSTrafficCM,,Slow,,,,,
2021-09-22 00:29:40+00:00,1440473333628166145,"#ManœuvresPérilleuses aujourd'hui 
Promenade de l'Aéroport - 136km dans une zone de 70km/hr
Avenue Bronson- 141 km dans une zone de 70km/hr
Les permis furent suspendus pour 30 jrs et les véhicules saisis pour 14.
#Ralentissez",OPSTrafficCM,,,,,,,
